Name,Team,KPer9,BBPer9,KPerBB,HRPer9,KRate,BBRate,KBBRate,AVG,WHIP,BABIP,LOBRate,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Zac Gallen,ARI,8.92,1.83,4.88,0.23,26.0%,5.3%,20.7%,.146,0.71,.196,88.6%,28,66,92,1.14,2.43,-1.28,3.51,3.13,19291
Evan Phillips,LAD,11.15,2.35,4.75,0.59,32.2%,6.8%,25.4%,.167,0.85,.235,71.4%,76,65,82,2.93,2.44,0.50,3.13,2.37,17734
Emmanuel Clase,CLE,9.39,1.76,5.33,0.59,25.8%,4.8%,21.0%,.203,0.98,.262,51.5%,80,62,58,2.93,2.44,0.50,2.31,2.31,21032
Nestor Cortes,NYY,11.03,2.48,4.45,0.68,32.5%,7.3%,25.2%,.164,0.85,.227,90.6%,37,60,71,1.35,2.44,-1.09,2.78,2.72,17874
Reynaldo Lopez,CHW,6.32,2.30,2.75,0.00,18.3%,6.7%,11.7%,.232,1.09,.289,52.9%,110,60,105,4.02,2.45,1.57,4.04,3.89,16400
Chris Martin,CHC,10.66,2.13,5.00,0.71,28.3%,5.7%,22.6%,.320,1.50,.441,85.2%,70,66,62,2.84,2.46,0.38,2.31,1.97,11847
Daniel Hudson,LAD,10.66,2.13,5.00,0.71,29.4%,5.9%,23.5%,.188,0.95,.250,66.0%,73,66,62,2.84,2.46,0.38,2.31,2.10,7146
Kyle Wright,ATL,10.71,2.79,3.85,0.43,29.2%,7.6%,21.6%,.213,1.10,.301,73.6%,68,67,79,2.79,2.47,0.32,2.97,2.98,19665
Giovanny Gallegos,STL,10.43,2.45,4.25,0.61,28.8%,6.8%,22.0%,.236,1.16,.324,64.1%,96,68,84,3.68,2.48,1.21,3.20,2.71,14986
Keegan Akin,BAL,7.33,1.67,4.40,0.33,22.0%,5.0%,17.0%,.168,0.78,.208,86.7%,36,59,78,1.33,2.50,-1.16,3.04,2.84,19362
Zach Jackson,OAK,12.05,5.79,2.08,0.00,32.9%,15.8%,17.1%,.175,1.23,.289,70.8%,82,65,89,2.89,2.50,0.39,3.47,3.41,19493
Cody Poteet,MIA,7.71,3.43,2.25,0.00,23.1%,10.3%,12.8%,.143,0.86,.192,94.4%,11,69,92,0.43,2.52,-2.09,3.51,3.51,18769
Dennis Santana,TEX,4.91,1.64,3.00,0.00,15.0%,5.0%,10.0%,.158,0.73,.188,50.0%,67,65,99,2.45,2.54,-0.09,3.80,3.71,17878
Matt Foster,CHW,9.18,2.16,4.25,0.54,25.8%,6.1%,19.7%,.210,1.02,.273,76.9%,74,63,82,2.70,2.55,0.15,3.18,2.91,19647
Aaron Loup,LAA,9.18,1.08,8.50,0.54,26.2%,3.1%,23.1%,.131,0.60,.163,47.2%,44,63,75,1.62,2.55,-0.93,2.93,2.33,10343
Tim Mayza,TOR,9.00,1.38,6.50,0.69,25.5%,3.9%,21.6%,.224,1.00,.286,86.2%,54,65,46,2.08,2.55,-0.47,1.87,1.55,15042
David Robertson,CHC,13.15,4.15,3.17,0.69,38.8%,12.2%,26.5%,.070,0.69,.087,92.1%,34,68,70,1.38,2.55,-1.17,2.62,2.35,8241
Zach Eflin,PHI,6.90,1.50,4.60,0.30,18.4%,4.0%,14.4%,.261,1.20,.316,59.0%,96,67,95,3.90,2.59,1.31,3.64,3.76,13774
Luis Cessa,CIN,6.46,2.35,2.75,0.00,18.0%,6.6%,11.5%,.232,1.11,.289,66.7%,84,68,102,3.52,2.63,0.89,3.90,3.59,13345
Craig Kimbrel,LAD,12.27,3.27,3.75,0.82,31.3%,8.3%,22.9%,.250,1.36,.357,80.9%,84,70,66,3.27,2.64,0.64,2.46,2.30,6655
Josh Staumont,KCR,12.64,4.02,3.14,0.57,31.9%,10.1%,21.7%,.230,1.34,.342,77.7%,92,68,88,3.45,2.64,0.80,3.41,2.89,18335
Zack Wheeler,PHI,9.54,2.33,4.10,0.47,25.9%,6.3%,19.6%,.234,1.14,.314,72.4%,86,69,86,3.49,2.65,0.84,3.27,3.25,10310
Corey Knebel,PHI,7.88,3.38,2.33,0.00,21.2%,9.1%,12.1%,.220,1.19,.289,65.0%,83,69,112,3.38,2.65,0.72,4.30,3.83,15010
Alex Cobb,SFG,11.22,3.16,3.56,0.70,28.1%,7.9%,20.2%,.286,1.52,.394,49.7%,145,74,63,5.61,2.66,2.95,2.35,2.54,6562
Shane McClanahan,TBR,12.63,1.94,6.50,1.17,36.7%,5.6%,31.1%,.181,0.86,.253,85.9%,67,71,46,2.33,2.68,-0.35,1.86,1.98,21483
Sam Moll,OAK,11.68,5.84,2.00,0.00,32.0%,16.0%,16.0%,.122,1.05,.200,92.9%,21,70,87,0.73,2.68,-1.95,3.36,3.43,14874
Joe Musgrove,SDP,9.40,1.20,7.83,0.80,26.7%,3.4%,23.3%,.214,0.93,.274,75.5%,57,73,77,2.20,2.69,-0.49,2.89,2.88,12970
Jimmy Herget,LAA,8.61,0.78,11.00,0.78,24.2%,2.2%,22.0%,.227,0.96,.281,69.3%,85,67,69,3.13,2.70,0.43,2.71,2.61,17556
Drew Rasmussen,TBR,7.91,1.86,4.25,0.47,22.4%,5.3%,17.1%,.189,0.91,.234,78.3%,67,72,82,2.33,2.70,-0.37,3.18,3.34,25385
Bryan Baker,BAL,9.77,2.30,4.25,0.57,25.8%,6.1%,19.7%,.279,1.34,.372,63.1%,123,65,70,4.60,2.71,1.89,2.76,2.80,19804
Jason Foley,DET,1.69,0.00,2.00,0.00,4.9%,0.0%,4.9%,.268,1.03,.282,63.6%,91,69,104,3.38,2.71,0.66,4.01,3.87,19531
Max Fried,ATL,8.63,1.10,7.83,0.73,23.7%,3.0%,20.7%,.237,1.04,.295,71.7%,81,73,71,3.31,2.72,0.58,2.68,2.91,13743
Matt Moore,TEX,10.71,6.05,1.77,0.00,26.7%,15.1%,11.6%,.205,1.45,.300,82.1%,51,70,99,1.86,2.73,-0.87,3.80,3.84,1890
Jeff Hoffman,CIN,8.69,2.75,3.17,0.46,24.1%,7.6%,16.5%,.219,1.12,.283,82.5%,43,70,112,1.83,2.73,-0.90,4.33,3.62,17432
Michael Kopech,CHW,8.49,4.37,1.94,0.00,24.1%,12.4%,11.7%,.134,0.94,.186,76.5%,42,68,121,1.54,2.75,-1.20,4.61,4.44,17282
Patrick Sandoval,LAA,8.45,4.36,1.94,0.00,22.1%,11.4%,10.7%,.211,1.27,.283,79.1%,52,69,102,1.91,2.76,-0.85,3.93,4.20,19447
Nabil Crismatt,SDP,7.84,3.92,2.00,0.00,22.0%,11.0%,11.0%,.153,0.97,.204,85.7%,34,75,96,1.31,2.80,-1.49,3.67,3.60,17732
Caleb Thielbar,MIN,11.93,4.40,2.71,0.63,31.1%,11.5%,19.7%,.222,1.33,.324,51.1%,170,72,94,6.28,2.81,3.47,3.64,3.06,10078
Miles Mikolas,STL,6.70,1.68,4.00,0.37,18.7%,4.7%,14.0%,.214,0.99,.257,84.7%,44,77,96,1.68,2.82,-1.14,3.66,3.78,9803
Chad Green,NYY,9.60,3.00,3.20,0.60,25.8%,8.1%,17.7%,.228,1.20,.300,72.3%,82,71,104,3.00,2.82,0.18,3.99,3.43,15552
Andrew Bellatti,PHI,13.50,4.76,2.83,0.79,34.7%,12.2%,22.4%,.209,1.32,.320,80.9%,59,73,80,2.38,2.82,-0.44,3.02,2.76,10657
Chasen Shreve,NYM,12.83,2.03,6.33,1.35,38.0%,6.0%,32.0%,.191,0.90,.269,76.1%,90,78,53,3.38,2.86,0.51,1.95,1.68,10855
Jorge Lopez,BAL,9.47,5.68,1.67,0.00,25.0%,15.0%,10.0%,.147,1.16,.208,77.3%,38,69,101,1.42,2.88,-1.46,3.90,3.99,14527
Logan Gilbert,SEA,10.20,3.20,3.19,0.60,28.0%,8.8%,19.2%,.207,1.11,.282,79.5%,68,76,85,2.40,2.89,-0.49,3.32,3.34,22250
Will Vest,DET,11.65,2.12,5.50,1.06,36.7%,6.7%,30.0%,.127,0.65,.161,87.0%,57,74,62,2.12,2.91,-0.80,2.44,1.86,19769
Max Scherzer,NYM,10.69,1.99,5.36,0.91,30.6%,5.7%,24.9%,.202,0.95,.272,81.8%,68,80,83,2.54,2.93,-0.39,3.16,2.79,3137
Jarlin Garcia,SFG,6.75,4.05,1.67,0.00,20.4%,12.2%,8.2%,.093,0.75,.121,80.0%,0,82,119,0.00,2.94,-2.94,4.60,4.33,18282
