"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Drew Hutchison","DET","8.62","6.89","1.25","0.57","20.8%","16.7%","4.2%",".200","1.53",".250","66.4%","125","112","138","4.60","4.30","0.29","5.24","4.95","10732"
"Phil Bickford","LAD","7.62","2.08","3.67","1.38","21.6%","5.9%","15.7%",".255","1.15",".294","83.3%","89","112","100","3.46","4.32","-0.86","3.81","3.30","18519"
"Matt Wisler","TBR","6.60","3.00","2.20","1.20","17.5%","7.9%","9.5%",".224","1.20",".244","52.6%","69","119","129","2.40","4.36","-1.96","4.93","4.63","12804"
"Tyler Duffey","MIN","8.22","1.76","4.67","1.76","23.0%","4.9%","18.0%",".276","1.24",".317","81.1%","111","115","63","4.11","4.39","-0.29","2.48","2.64","13758"
"Buck Farmer","CIN","12.75","5.25","2.43","1.50","28.8%","11.9%","16.9%",".294","1.83",".406","64.4%","160","110","92","6.75","4.42","2.33","3.53","3.27","14814"
"Brent Suter","MIL","6.75","5.25","1.29","0.75","17.0%","13.2%","3.8%",".261","1.58",".306","73.9%","93","114","117","3.75","4.42","-0.67","4.49","4.74","13942"
"Paul Fry","BAL","9.00","5.25","1.71","0.75","22.2%","13.0%","9.3%",".200","1.33",".250","54.2%","160","109","99","6.00","4.42","1.58","3.80","3.51","15832"
"Austin Voth","WSN","9.00","2.81","3.20","1.69","20.3%","6.3%","13.9%",".378","2.06",".455","59.0%","207","114","100","8.44","4.46","3.97","3.85","3.53","15047"
"Jeurys Familia","PHI","9.22","4.61","2.00","1.32","23.3%","11.7%","11.7%",".264","1.54",".324","76.9%","97","113","104","3.95","4.48","-0.53","4.00","3.73","5114"
"Raisel Iglesias","LAA","11.20","2.63","4.25","1.98","31.5%","7.4%","24.1%",".184","0.95",".207","61.2%","125","116","91","4.61","4.55","0.06","3.53","2.61","17130"
"Ty Blach","COL","6.16","2.37","2.60","1.42","16.7%","6.4%","10.3%",".247","1.21",".263","58.5%","125","113","111","5.68","4.56","1.12","4.26","3.99","14361"
"Ashton Goudeau","COL","6.43","3.21","2.00","1.29","15.6%","7.8%","7.8%",".322","1.71",".362","51.9%","155","113","124","7.07","4.59","2.48","4.81","4.39","15139"
